Suburbs,Number,Percentage of total
Beachmere,138,0.502970441
Miami,87,0.317090061
Coorparoo,178,0.648758975
Buderim,520,1.895250939
Labrador,191,0.696140249
Currumbin Waters,173,0.630535408
Biggera Waters,1288,4.694390786
Coolangatta,550,2.004592339
Brinsmead,601,2.190472719
Bli Bli,275,1.002296169
Caloundra,586,2.135802019
Palm Beach,3,0.01093414
Ashgrove,74,0.269708787
Coolum Beach,149,0.543062288
Manly,12,0.04373656
Birtinya,110,0.400918468
Bribie Island,229,0.834639356
Helensvale,326,1.18817655
Pialba,310,1.129861136
Boondall,57,0.207748661
Bray Park,183,0.666982542
Carina,65,0.236906367
Alexandra Hills,445,1.621897438
Yungaburra,1,0.003644713
Camp Hill,50,0.182235667
Brighton,66,0.240551081
Clontarf,272,0.991362029
Bethania,251,0.914823049
Caboolture,583,2.124867879
Annerley,690,2.514852207
Maroochydore,17,0.061960127
Cooroy,54,0.196814521
Darra,46,0.167656814
Aitkenvale,1780,6.487589751
Booval,133,0.484746875
Acacia Ridge,510,1.858803805
Browns Plains,235,0.856507636
Brassall,318,1.159018843
Kingston,146,0.532128148
Bowen Hills,420,1.530779604
Ascot,48,0.17494624
Banyo,66,0.240551081
Maleny,5,0.018223567
Beenleigh,968,3.528082516
Atherton,558,2.033750046
Dutton Park,79,0.287932354
Alderley,184,0.670627255
Edge Hill,1060,3.863396144
Kallangur,42,0.15307796
Birkdale,156,0.568575282
Hope Vale,36,0.13120968
Coopers Plains,67,0.244195794
Cooktown,116,0.422786748
Yeppoon,19,0.069249554
Burpengary,661,2.40915552
East Brisbane,120,0.437365601
Ormeau,11,0.040091847
Corinda,78,0.284287641
Fortitude Valley,194,0.707074389
Margate,13,0.047381273
Deception Bay,105,0.382694901
Greenslopes,53,0.193169807
Beaconsfield,713,2.598680614
Holland Park,40,0.145788534
Napranum,49,0.178590954
Albion,162,0.590443562
Ellen Grove,12,0.04373656
Aspley,206,0.750810949
Palm Island,66,0.240551081
Belgian Gdns,170,0.619601268
Lutwyche,6,0.02186828
Wujal Wujal,15,0.0546707
Granville,162,0.590443562
Fairfield,117,0.426431461
Kowanyama,72,0.262419361
Kippa-Ring,22,0.080183694
Chermside,504,1.836935525
Cleveland,92,0.335313628
Biggenden,8,0.029157707
Bardon,11,0.040091847
New Farm,3,0.01093414
Forest Lake,20,0.072894267
Kingaroy,89,0.324379488
Cannon Hill,100,0.364471334
Centenary Heights,270,0.984072603
Hatton Vale,3,0.01093414
Calamvale,27,0.09840726
Chelmer,6,0.02186828
Collingwood Park,20,0.072894267
Beaudesert,129,0.470168021
Enoggera,50,0.182235667
Kuraby,9,0.03280242
Mareeba,93,0.338958341
Boronia Heights,113,0.411852608
Gympie,143,0.521194008
