Suburbs,Number,Percentage of total
Aitkenvale,1780,6.487589751
Biggera Waters,1288,4.694390786
Edge Hill,1060,3.863396144
Beenleigh,968,3.528082516
Beaconsfield,713,2.598680614
Annerley,690,2.514852207
Burpengary,661,2.40915552
Brinsmead,601,2.190472719
Caloundra,586,2.135802019
Caboolture,583,2.124867879
Atherton,558,2.033750046
Coolangatta,550,2.004592339
Buderim,520,1.895250939
Acacia Ridge,510,1.858803805
Chermside,504,1.836935525
Alexandra Hills,445,1.621897438
Bowen Hills,420,1.530779604
E/Bundaberg,363,1.323030944
Berserker,344,1.25378139
Helensvale,326,1.18817655
North Bundaberg,322,1.173597697
Brassall,318,1.159018843
Pialba,310,1.129861136
Bli Bli,275,1.002296169
Clontarf,272,0.991362029
Centenary Heights,270,0.984072603
Bundamba,260,0.947625469
Bethania,251,0.914823049
Browns Plains,235,0.856507636
New Auckland,233,0.849218209
Bribie Island,229,0.834639356
Aspley,206,0.750810949
Fortitude Valley,194,0.707074389
Labrador,191,0.696140249
Alderley,184,0.670627255
Bray Park,183,0.666982542
Coorparoo,178,0.648758975
Mount Isa,177,0.645114262
Currumbin Waters,173,0.630535408
Belgian Gdns,170,0.619601268
Capalaba,163,0.594088275
Albion,162,0.590443562
Granville,162,0.590443562
Harristown,162,0.590443562
Birkdale,156,0.568575282
Coolum Beach,149,0.543062288
Kingston,146,0.532128148
Gympie,143,0.521194008
Edmonton,140,0.510259868
Beachmere,138,0.502970441
Koongal/Lakes Creek,137,0.499325728
Maryborough,134,0.488391588
Booval,133,0.484746875
Beaudesert,129,0.470168021
East Brisbane,120,0.437365601
Fairfield,117,0.426431461
Cooktown,116,0.422786748
Boronia Heights,113,0.411852608
Birtinya,110,0.400918468
Bellbird Park,106,0.386339614
Deception Bay,105,0.382694901
Ayr,105,0.382694901
Bracken Ridge,102,0.371760761
Cannon Hill,100,0.364471334
Emu Park,98,0.357181908
Aurukun,95,0.346247768
Bowen,95,0.346247768
Mareeba,93,0.338958341
Cleveland,92,0.335313628
S/Bundaberg,92,0.335313628
Darling Heights,92,0.335313628
Dalby,91,0.331668914
Bald Hills,90,0.328024201
Kingaroy,89,0.324379488
Miami,87,0.317090061
Gracemere,87,0.317090061
Innisfail,85,0.309800634
Eli Waters,84,0.306155921
Dutton Park,79,0.287932354
Corinda,78,0.284287641
Glenvale,78,0.284287641
Mackay,78,0.284287641
Charters Towers,76,0.276998214
Ashgrove,74,0.269708787
Kowanyama,72,0.262419361
Babinda,71,0.258774647
Coopers Plains,67,0.244195794
Eagleby,67,0.244195794
Brighton,66,0.240551081
Banyo,66,0.240551081
Palm Island,66,0.240551081
Carina,65,0.236906367
Drayton,65,0.236906367
Biloela,65,0.236906367
Carina Heights,63,0.229616941
Chinchilla,59,0.215038087
Boondall,57,0.207748661
Thursday Island,57,0.207748661
Cannonvale,57,0.207748661
Cooroy,54,0.196814521
Algester,54,0.196814521
Greenslopes,53,0.193169807
Camp Hill,50,0.182235667
Enoggera,50,0.182235667
Albany Creek,50,0.182235667
Napranum,49,0.178590954
Clayfield,49,0.178590954
Ascot,48,0.17494624
Mossman,47,0.171301527
Bamaga,47,0.171301527
Condon,47,0.171301527
Boyne Island,47,0.171301527
Darra,46,0.167656814
Mooloolaba,43,0.156722674
Kallangur,42,0.15307796
Inala,42,0.15307796
Holland Park,40,0.145788534
Doomadgee,40,0.145788534
Gatton,40,0.145788534
Ingham,39,0.14214382
Woorabinda,39,0.14214382
Daisy Hill,38,0.138499107
Kangaroo Point,38,0.138499107
Goodna,38,0.138499107
Eight Mile Plains,37,0.134854394
Hope Vale,36,0.13120968
Mornington Island,36,0.13120968
Cardwell,36,0.13120968
Balmoral,35,0.127564967
Dakabin,35,0.127564967
Highgate Hill,34,0.123920254
Camira,34,0.123920254
Mapoon,32,0.116630827
Howard,32,0.116630827
Arana Hills,32,0.116630827
Warwick,31,0.112986114
Kearneys Spring,31,0.112986114
Gladstone,31,0.112986114
Emerald,30,0.1093414
Blackwater,30,0.1093414
Auchenflower,28,0.102051974
Barney Point,28,0.102051974
Calamvale,27,0.09840726
Allora,27,0.09840726
Bulimba,26,0.094762547
Doolandella,26,0.094762547
Harlaxton,26,0.094762547
Ipsh Central,26,0.094762547
Loganlea,25,0.091117834
Durack,25,0.091117834
Indooroopilly,25,0.091117834
Airlie Beach,25,0.091117834
Stanthorpe,25,0.091117834
Garbutt,24,0.08747312
Goondiwindi,24,0.08747312
Carindale,23,0.083828407
Southport,23,0.083828407
Kippa-Ring,22,0.080183694
Earlville,22,0.080183694
Augustine Heights,22,0.080183694
Newtown,22,0.080183694
West Gladstone,22,0.080183694
Cunnamulla,21,0.07653898
Forest Lake,20,0.072894267
Collingwood Park,20,0.072894267
Belmont,20,0.072894267
Toowoomba City,20,0.072894267
Yeppoon,19,0.069249554
Lockhart River,19,0.069249554
Pormpuraaw North,18,0.06560484
Clinton,18,0.06560484
Burrum Heads,18,0.06560484
Maroochydore,17,0.061960127
Cloncurry,17,0.061960127
Loganholme,17,0.061960127
W/Bundaberg,16,0.058315413
Wujal Wujal,15,0.0546707
Mount Morgan,15,0.0546707
Roma,15,0.0546707
Kuranda,14,0.051025987
Normanton,14,0.051025987
Margate,13,0.047381273
Injinoo,13,0.047381273
Holloways Bch,13,0.047381273
Murgon,13,0.047381273
Manly,12,0.04373656
Ellen Grove,12,0.04373656
Frenchville,12,0.04373656
Burketown,12,0.04373656
Tully,12,0.04373656
Kelvin Grove,12,0.04373656
Charleville,12,0.04373656
Griffin,12,0.04373656
Ormeau,11,0.040091847
Bardon,11,0.040091847
Port Douglas,11,0.040091847
Glasshouse Mt,11,0.040091847
Cambooya,11,0.040091847
Carseldine,11,0.040091847
St George,11,0.040091847
Herston,10,0.036447133
Mount Gravatt East,10,0.036447133
Bargara,10,0.036447133
Woodridge,10,0.036447133
Clifton,10,0.036447133
Rockhampton South,10,0.036447133
Kuraby,9,0.03280242
Kubin,9,0.03280242
Kedron,9,0.03280242
Crows Nest,9,0.03280242
Mount Coolum,9,0.03280242
New Mapoon,9,0.03280242
Dimbulah,9,0.03280242
Archerfield,9,0.03280242
Everton Park,9,0.03280242
Lota,9,0.03280242
Kirwan,9,0.03280242
Biggenden,8,0.029157707
Noosa Heads,8,0.029157707
Hermit Park,8,0.029157707
Craignish,8,0.029157707
Childers,8,0.029157707
Camooweal,8,0.029157707
Longreach,8,0.029157707
Wasaga,7,0.025512993
Seisia,7,0.025512993
Deeragun,7,0.025512993
Esk,7,0.025512993
Mudgeeraba,7,0.025512993
Redcliffe,7,0.025512993
Moura,7,0.025512993
Nambour,7,0.025512993
Bakers Creek,7,0.025512993
Lutwyche,6,0.02186828
Chelmer,6,0.02186828
Hammond Island,6,0.02186828
Molendinar,6,0.02186828
Mount Gravatt,6,0.02186828
Booral,6,0.02186828
Hemmant,6,0.02186828
Mitchell,6,0.02186828
Malanda,6,0.02186828
Sarina,6,0.02186828
Townsville City,6,0.02186828
Maleny,5,0.018223567
Hawthorne,5,0.018223567
Coen,5,0.018223567
Dundowran,5,0.018223567
Brendale,5,0.018223567
Nerang,5,0.018223567
Moorooka,5,0.018223567
Hamilton,5,0.018223567
Eidsvold,5,0.018223567
Chapel Hill,5,0.018223567
Mount Lofty,5,0.018223567
Bellbowrie,5,0.018223567
Carole Park,5,0.018223567
Miles,5,0.018223567
Pormpuraaw South,5,0.018223567
Tara,5,0.018223567
Barcaldine,5,0.018223567
Scarness,4,0.014578853
Umagico,4,0.014578853
West End,4,0.014578853
Geebung,4,0.014578853
Keperra,4,0.014578853
Laidley,4,0.014578853
Dirranbandi,4,0.014578853
Mansfield,4,0.014578853
Pimpama,4,0.014578853
Collinsville,4,0.014578853
Goomeri,4,0.014578853
Gayndah,4,0.014578853
The Gap,4,0.014578853
Capella,4,0.014578853
Ferny Grove,4,0.014578853
Hughenden,4,0.014578853
Clermont,4,0.014578853
Palm Beach,3,0.01093414
New Farm,3,0.01093414
Hatton Vale,3,0.01093414
Wynnum,3,0.01093414
Laura,3,0.01093414
Dinmore,3,0.01093414
Tin Can Bay,3,0.01093414
Mooroobool,3,0.01093414
Boonah,3,0.01093414
Karumba,3,0.01093414
Calliope,3,0.01093414
South Brisbane,3,0.01093414
Grange,3,0.01093414
North Toowoomba,3,0.01093414
Boulia,3,0.01093414
Marsden,3,0.01093414
Cherbourg,3,0.01093414
Gordonvale,3,0.01093414
Duaringa,3,0.01093414
Deagon,3,0.01093414
Minyama,3,0.01093414
Bell,3,0.01093414
Greenbank,3,0.01093414
Everton Hills,3,0.01093414
Croydon,3,0.01093414
Leichhardt,3,0.01093414
Milton,2,0.007289427
Holland Park West,2,0.007289427
Pormpuraaw,2,0.007289427
Shorncliffe,2,0.007289427
Northgate,2,0.007289427
Sunnybank,2,0.007289427
Urangan,2,0.007289427
Ripley,2,0.007289427
Waterford West,2,0.007289427
Northern Beaches,2,0.007289427
Varsity Lakes,2,0.007289427
Mission Beach,2,0.007289427
Oxley,2,0.007289427
Inglewood,2,0.007289427
Bluff,2,0.007289427
One Mile,2,0.007289427
Walkerston,2,0.007289427
Karana Downs,2,0.007289427
