Suburbs,Number,Percentage of total,Colourcode,,,,,,,
Aitkenvale,1808,7.128213216,#FF0000,,,,,,,
n.a.,1210,4.770540924,#FF0000,,,,,,,
Beenleigh,1073,4.230405299,#FF0000,,,,,,,
Edge Hill,1051,4.143668191,#FF0000,,,,,,,
Biggera Waters,995,3.922882826,#FF5500,,,,,,,
Burpengary,647,2.550859486,#FF5500,,,,,,,
Annerley,636,2.507490932,#FF5500,,,,,,,
Caboolture,620,2.444409399,#FF5500,,,,,,,
Acacia Ridge,589,2.322188929,#FF5500,,,,,,,
Beaconsfield,582,2.294590759,#FF5500,,,,,,,
Caloundra,537,2.117173947,#FF5500,,,,,,,
Chermside,513,2.022551648,#FF5500,,,,,,,
Buderim,508,2.002838669,#FF5500,,,,,,,
Atherton,502,1.979183094,#FF5500,,,,,,,
Brinsmead,450,1.774168112,#FF5500,,,,,,,
Coolangatta,413,1.628292067,#FF5500,,,,,,,
Bowen Hills,405,1.596751301,#FF5500,,,,,,,
Alexandra Hills,381,1.502129002,#FF5500,,,,,,,
E/Bundaberg,375,1.478473427,#FF5500,,,,,,,
Berserker,318,1.253745466,#FF5500,,,,,,,
Brassall,301,1.186721337,#FF5500,,,,,,,
North Bundaberg,297,1.170950954,#FF5500,,,,,,,
Browns Plains,286,1.1275824,#FF5500,,,,,,,
Bundamba,285,1.123639804,#FF5500,,,,,,,
Pialba,282,1.111812017,#FF5500,,,,,,,
Centenary Heights,275,1.084213846,#FF5500,,,,,,,
Clontarf,274,1.080271251,#FF5500,,,,,,,
Bethania,240,0.946222993,#FF5500,,,,,,,
Bli Bli,239,0.942280397,#FF5500,,,,,,,
Bribie Island,237,0.934395206,#FF5500,,,,,,,
Helensvale,230,0.906797035,#FF5500,,,,,,,
New Auckland,219,0.863428481,#FF5500,,,,,,,
Granville,199,0.784576565,#FF5500,,,,,,,
Fortitude Valley,197,0.776691374,#FF5500,,,,,,,
Aspley,179,0.705724649,#FF5500,,,,,,,
Capalaba,169,0.666298691,#FF5500,,,,,,,
Kingston,165,0.650528308,#FF5500,,,,,,,
Labrador,164,0.646585712,#FF5500,,,,,,,
Edmonton,162,0.63870052,#FF5500,,,,,,,
Harristown,162,0.63870052,#FF5500,,,,,,,
Alderley,161,0.634757925,#FF5500,,,,,,,
Coorparoo,158,0.622930137,#FF5500,,,,,,,
Booval,146,0.575618988,#FF5500,,,,,,,
Bray Park,144,0.567733796,#FF5500,,,,,,,
Belgian Gdns,137,0.540135625,#FF5500,,,,,,,
Koongal/Lakes Creek,134,0.528307838,#FF5500,,,,,,,
Currumbin Waters,133,0.524365242,#FF5500,,,,,,,
Birkdale,126,0.496767071,#FF5500,,,,,,,
Beachmere,124,0.48888188,#FF5500,,,,,,,
Maryborough,122,0.480996688,#FF5500,,,,,,,
Beaudesert,119,0.469168901,#FF5500,,,,,,,
Coolum Beach,116,0.457341113,#FF5500,,,,,,,
Albion,116,0.457341113,#FF5500,,,,,,,
Bracken Ridge,116,0.457341113,#FF5500,,,,,,,
East Brisbane,112,0.44157073,#FF5500,,,,,,,
Boronia Heights,106,0.417915155,#FF5500,,,,,,,
Bellbird Park,105,0.41397256,#FF5500,,,,,,,
Deception Bay,105,0.41397256,#FF5500,,,,,,,
Gracemere,103,0.406087368,#FF5500,,,,,,,
Gympie,96,0.378489197,#FFAA00,,,,,,,
Darling Heights,95,0.374546601,#FFAA00,,,,,,,
Glenvale,93,0.36666141,#FFAA00,,,,,,,
